구,lat,lng
강남구,37.5207695,127.0245651
강남구,37.46997231,127.0910208
강남구,37.47054284,127.1137731
강남구,37.47153836,127.096582
강남구,37.4964968,127.0320274
강남구,37.46971323,127.1130164
강남구,37.47586067,127.1134903
강남구,37.47882622,127.0516625
강남구,37.50090187,127.0296764
강남구,37.47176041,127.0881053
강남구,37.47375667,127.104168
강남구,37.48894236,127.0666071
강남구,37.63655985,127.0695917
강남구,37.51727791,127.0371879
강남구,37.51386514,127.0293218
강남구,37.49411388,127.0828722
강남구,37.49324594,127.0567758
강남구,37.49879449,127.066997
강남구,37.48070634,127.0896793
강남구,37.48372309,127.0464069
강남구,37.4883101,127.0388803
강남구,37.51146572,127.0353539
강남구,37.47504703,127.1076438
강남구,37.46575726,127.1012262
강남구,37.50230515,127.0641886
강남구,37.54226709,127.1320966
강남구,37.5482277,127.1353175
강남구,37.47222456,127.0906848
강남구,37.5203668,127.0478323
강남구,37.51435272,127.0626058
강남구,37.49034493,127.0895905
강남구,37.51368143,127.0468374
강남구,37.48308019,127.063867
강남구,37.4690517,127.1069139
강남구,37.4640671,127.0984192
강남구,37.4600486,127.0993931
강남구,37.46103847,127.1027375
강남구,37.48890342,127.1049909
강남구,37.52397487,127.0227972
강남구,37.49470924,127.0404834
강남구,37.53061779,127.0306528
강남구,37.49588839,127.046474
강남구,37.49537399,127.0332844
강남구,37.4840224,127.0844597
강남구,37.49132099,127.0883142
강남구,37.46574983,127.1030362
강남구,37.49184926,127.0880233
강남구,37.48337783,127.0864821
강남구,37.51909941,127.0464411
강남구,37.49973075,127.0578497
강남구,37.52509298,127.0492914
강남구,37.51814355,127.0349803
강남구,37.5185487,127.0485138
강남구,37.4662566,127.0923733
강남구,37.5232559,127.0293329
강남구,37.4924322,127.0728459
강남구,37.4792226,127.045865
강남구,37.50188824,127.0392423
강남구,37.52079171,127.0337358
강남구,37.51035608,127.0610231
강남구,37.51522231,127.0628405
강남구,37.50008222,127.0329376
강남구,37.50230515,127.0641886
강남구,37.4724452,127.0958153
강동구,37.52604274,127.1328841
강동구,37.56504077,127.1739073
강동구,37.53178679,127.1481604
강동구,37.53283244,127.1333354
강동구,37.55283455,127.1333221
강동구,37.54052333,127.1340816
강동구,37.54394314,127.1255359
강동구,37.53615563,127.135336
강동구,37.54573146,127.1412226
강동구,37.56787986,127.1726055
강동구,37.5636621,127.1760796
강동구,37.55058375,127.1683004
강동구,37.55327315,127.176167
강동구,37.53047266,127.1224554
강동구,37.56474145,127.1624637
강동구,37.56262355,127.1384359
강동구,37.55042474,127.1397249
강동구,37.55909271,127.1522758
강동구,37.56446543,127.1615646
강동구,37.54313195,127.1448914
강동구,37.55462967,127.1490347
강동구,37.56527657,127.178359
강동구,37.5583596,127.151086
